날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1982-12-06,108,-6,-9.8,-1.9
1982-12-07,108,-1.8,-6.7,3.5
1982-12-12,108,-6.1,-8.4,-3.9
1982-12-13,108,-5.5,-8,-2
1982-12-14,108,-4.2,-9,0.9
1982-12-15,108,-1.3,-5.6,3.4
1982-12-17,108,-4,-7.3,0.4
1982-12-18,108,-6,-9.5,-1.9
1982-12-19,108,-2.1,-7.2,3.2
1982-12-25,108,-2.7,-5.4,0.4
1982-12-26,108,-0.6,-4,3.3
1982-12-31,108,-1.4,-5,2.8
1983-01-01,108,-0.1,-4.7,5.9
1983-01-03,108,-0.3,-4.2,5
1983-01-08,108,-7.6,-11.8,-2.5
1983-01-09,108,-10,-13.9,-5.4
1983-01-10,108,-9.2,-12.4,-5.7
1983-01-11,108,-7.5,-12.1,-3.8
1983-01-12,108,-4.7,-8.2,-1.8
1983-01-13,108,-2.9,-5.9,0.5
1983-01-14,108,-2.2,-7.5,3.4
1983-01-15,108,-1.9,-5.8,2.2
1983-01-18,108,-0.6,-4.2,3.4
1983-01-19,108,-5.7,-8.9,-2.7
1983-01-20,108,-8.6,-11.9,-5
1983-01-21,108,-8.8,-12,-4.8
1983-01-22,108,-8.5,-12.7,-4.2
1983-01-23,108,-3.5,-8.8,1.7
1983-02-07,108,-1.2,-3.8,1.4
1983-02-08,108,-1.9,-4.6,0.5
1983-02-09,108,-3.5,-7.2,0.3
1983-02-10,108,-3.9,-8.1,0.3
1983-02-11,108,-5.8,-9.2,-2.2
1983-02-12,108,-9.5,-13.3,-6.2
1983-02-13,108,-8,-12.5,-2.9
1983-02-14,108,-3.6,-8.2,1.2
1983-02-18,108,-8.2,-10.2,-4.4
1983-02-19,108,-8.2,-12.4,-3.3
1983-02-20,108,-8.1,-11.3,-4.8
1983-02-21,108,-6,-11.2,-0.7
1983-02-22,108,-2.4,-7.9,3.3
1983-02-25,108,-0.3,-4.6,5
1983-11-17,108,-3.5,-6,-1.8
1983-11-26,108,-1.6,-4.2,1.6
1983-12-14,108,-1,-3.9,1.9
1983-12-15,108,-2.4,-5.7,2.2
1983-12-16,108,-3.7,-7.6,0.1
1983-12-17,108,-5.1,-7.1,-2.5
1983-12-18,108,-4.6,-9.6,1.4
1983-12-19,108,-1.2,-4.5,2.9
1983-12-20,108,-1.3,-6.4,5
1983-12-21,108,-0.5,-5.6,4
1983-12-22,108,-0.4,-7.3,1.8
1983-12-23,108,-7.5,-11,-4
1983-12-24,108,-7.7,-11.3,-5.7
1983-12-25,108,-9.4,-13.5,-5.1
1983-12-26,108,-5.8,-10.4,-1
1983-12-27,108,-6.5,-9.5,-2.8
1983-12-28,108,-7,-9.6,-3.7
1983-12-29,108,-8.1,-11.2,-4.4
1983-12-30,108,-6.3,-8.5,-4.3
1983-12-31,108,-6.2,-10.1,-2.1
1984-01-01,108,-4.8,-9.7,-0.2
1984-01-02,108,-0.8,-2.5,0.1
1984-01-03,108,-2.1,-6.5,0.1
1984-01-04,108,-7.4,-9.3,-5.2
1984-01-05,108,-8.7,-12,-4.7
1984-01-06,108,-7.4,-12.1,-2.3
1984-01-07,108,-5.1,-9.3,-1.6
1984-01-08,108,-4.8,-8.2,-0.7
1984-01-09,108,-1.5,-7.5,4.1
1984-01-10,108,-0.1,-3.8,3.3
1984-01-11,108,-3.4,-6.9,-0.2
1984-01-12,108,-4.1,-7.9,-1.4
1984-01-13,108,-3,-6.1,0.9
1984-01-14,108,-1.7,-6.2,2.9
1984-01-15,108,-6,-10.2,0.3
1984-01-16,108,-10,-13.3,-5.6
1984-01-17,108,-9.7,-12.9,-5.2
1984-01-18,108,-8.3,-11.4,-5
1984-01-19,108,-6.9,-10.3,-2.3
1984-01-20,108,-7.5,-11.2,-3.1
1984-01-21,108,-4.8,-9.3,0.9
1984-01-22,108,-8.1,-11.8,-4.1
1984-01-23,108,-6.5,-10.7,-0.6
1984-01-24,108,-6,-8.5,-2.2
1984-01-25,108,-8.7,-11.4,-5.3
1984-01-26,108,-10.1,-13.6,-5.9
1984-01-27,108,-10.1,-13.6,-5.9
1984-01-28,108,-9.2,-12.6,-5.3
1984-01-29,108,-8.2,-12.4,-3
1984-01-30,108,-4.4,-7.7,-0.8
1984-01-31,108,-2.4,-5.6,3.8
1984-02-01,108,-3.4,-6.5,1.9
1984-02-02,108,-11.2,-14.2,-5.7
1984-02-03,108,-10.2,-15,-3.4
1984-02-04,108,-5.6,-9.9,-0.2
1984-02-05,108,-5.3,-10.4,-1.2
1984-02-06,108,-12.1,-15.1,-8.4
1984-02-07,108,-11,-14,-6.3
1984-02-08,108,-9.3,-13.4,-3.5
1984-02-09,108,-8.2,-12.7,-3.2
1984-02-10,108,-5.8,-11.2,-0.1
1984-02-11,108,-2.2,-7.3,5
1984-02-12,108,-0.7,-5.4,5.1
1984-02-13,108,-1.6,-4.9,2.8
1984-02-14,108,-2.8,-5.7,2
1984-02-15,108,-3.6,-6.5,1.4
1984-02-16,108,-4.2,-8.2,0.3
1984-02-17,108,-1.9,-4.6,2
1984-02-18,108,-2,-6.2,4.3
1984-02-19,108,-1.5,-6.1,3.7
1984-02-20,108,-0.3,-5,6.6
1984-02-26,108,-0.3,-5.1,2.6
1984-02-27,108,-4.4,-6.6,-0.9
1984-02-28,108,-4.3,-8.1,-0.1
1984-02-29,108,-4.4,-8.1,0.6
1984-03-01,108,-0.5,-3.9,4.6
1984-03-02,108,-0.6,-3.9,3.3
1984-03-03,108,-2.3,-5.4,1.7
1984-03-04,108,-2.5,-6.5,3
1984-03-05,108,-0.8,-4.6,4
1984-03-06,108,-0.3,-4.9,5.3
1984-03-10,108,-1,-3.8,3
1984-11-27,108,-1.1,-4,2.7
1984-11-28,108,-0.7,-5.7,4.2
1984-12-05,108,-1.7,-3.4,1.5
1984-12-06,108,-1.8,-6.2,4.1
1984-12-07,108,-0.1,-4.9,6.6
1984-12-18,108,-3.2,-5.5,0.5
1984-12-19,108,-3.4,-7.6,1.6
1984-12-20,108,-0.6,-2.7,3.3
1984-12-21,108,-3.1,-8.2,-0.1
1984-12-22,108,-8.3,-10.8,-3.5
1984-12-23,108,-9.3,-11.6,-5.6
1984-12-24,108,-9.9,-11.7,-7
1984-12-25,108,-8,-12.6,-3.3
1984-12-26,108,-5.1,-7.9,-0.6
1984-12-27,108,-6.3,-8.4,-2.3
1984-12-28,108,-8.4,-10.4,-5
1984-12-29,108,-9,-12.8,-4.8
1984-12-30,108,-5.7,-10.3,0.3
1984-12-31,108,-2.3,-4.5,1.4
1985-01-01,108,-2.9,-6.9,3
1985-01-02,108,-1.5,-5,3.4
1985-01-03,108,-0.6,-3.6,3.5
1985-01-04,108,-4.9,-7.6,-0.6
1985-01-05,108,-5.6,-9.4,-1
1985-01-06,108,-5,-9.6,-0.5
1985-01-07,108,-7.8,-11,-3
1985-01-08,108,-6.6,-11.3,-1.2
1985-01-09,108,-3.4,-8.3,2
1985-01-10,108,-6.2,-9.2,-2.4
1985-01-11,108,-4.9,-9.4,-0.6
1985-01-12,108,-4.6,-9.6,-0.8
1985-01-13,108,-10.9,-14.1,-7.5
1985-01-14,108,-12.4,-16.7,-7.6
1985-01-15,108,-7.7,-12.1,3
1985-01-16,108,-11.3,-14.3,-7.5
1985-01-17,108,-9.4,-14.3,-2.6
1985-01-18,108,-4.3,-10.2,2.8
1985-01-19,108,-1.2,-2.6,0.7
1985-01-20,108,-4.8,-7.4,-1.2
1985-01-21,108,-5.4,-10.2,-0.5
1985-01-22,108,-0.8,-3.6,2
1985-01-23,108,-5,-7.4,-1.3
1985-01-24,108,-5.6,-8.1,-1
1985-01-25,108,-5.3,-11,0
1985-01-26,108,-1.6,-6.7,2.9
1985-01-27,108,-2.2,-8.8,1.8
1985-01-28,108,-10,-12.4,-7
1985-01-29,108,-12,-14.8,-9.7
1985-01-30,108,-13,-16.3,-8.3
1985-01-31,108,-5,-11.1,1.8
1985-02-04,108,-0.1,-3.3,3.5
1985-02-13,108,-2.7,-6.3,0.8
1985-02-14,108,-3.7,-8.4,1.9
1985-02-17,108,-1.3,-6.8,5.3
1985-02-20,108,-4.3,-8.8,-0.2
1985-02-21,108,-8.1,-10.6,-4.7
1985-02-22,108,-7.8,-10.8,-3.5
1985-02-23,108,-8.2,-10.9,-4.1
1985-02-24,108,-6.7,-11,-1.6
